,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end,doi_1,doi_2,ba_fnd_r,ba_fdt_r,ba_fdt_y,ba_fdt_o
137,1116,0,2007-09-06,402.0,未参评,320000.0,0.0,0.0,320000.0,21185968.24,21216441.24,320000.0,320000.0,4020000.0,2007,2007.0,10.0
138,2149,0,2012-06-15,400.0,未参评,200000.0,0.0,0.0,200000.0,1450829.03,1646729.39,200000.0,200000.0,4000000.0,2012,2012.0,5.0
139,4368,1,2015-03-06,200.0,未参评,4985691.8,0.0,3578585.95,1407105.85,4513501.67,4611900.75,4985691.800000001,4985691.8,2000000.0,2015,2015.0,2.0
140,146,1,2008年10月31日,500.0,未参评,31074542.38,0.0,0.0,31074542.38,73802678.89,73821170.08,31074542.38,31074542.38,5000000.0,2008,2008.0,9.0
141,3538,1,2013-08-30,3600.0,未参评,3700000.0,120120.0,0.0,3820120.0,36311700.4,36315081.09,3820120.0,3820120.0,36000000.0,2013,2013.0,4.0
142,4448,1,2015年05月13日,200.0,未参评,609988.3,0.0,0.0,609988.3,1351075.53,1351105.53,609988.3,609988.3,2000000.0,2015,2015.0,2.0
143,345,0,2005-09-14,400.0,--,0.0,0.0,0.0,0.0,2782347.08,2857057.94,0.0,0.0,4000000.0,2005,2005.0,12.0
144,3307,1,2009-11-30,530.0,未参评,0.0,0.0,0.0,0.0,3322295.47,3612295.47,0.0,0.0,5300000.0,2009,2009.0,8.0
145,350,1,2010-02-10,200.0,3A,500000.0,0.0,0.0,500000.0,2675737.87,3025607.56,500000.0,500000.0,2000000.0,2010,2010.0,7.0
146,62,1,2007年12月28日,500.0,4A,44868139.84,0.0,44805959.84,62180.0,249916452.8,256849520.08,44868139.84,44868139.84,5000000.0,2007,2007.0,10.0
147,1066,1,2007-11-07,200.0,3A,170000.0,0.0,0.0,170000.0,2304857.58,2304857.58,170000.0,170000.0,2000000.0,2007,2007.0,10.0
148,3751,1,2014-04-08,200.0,未参评,765190.8,775000.0,1515840.8,24350.0,2216956.96,2319424.52,1540190.8,1540190.8,2000000.0,2014,2014.0,3.0
149,5627,1,2016-09-02,200.0,--,2000000.0,0.0,0.0,2000000.0,1800000.0,1807156.0,2000000.0,2000000.0,2000000.0,2016,2016.0,1.0
150,4711,1,2015-09-18,200.0,未参评,819471.7,0.0,749823.18,69648.52,2229089.25,2462330.54,819471.7000000001,819471.7,2000000.0,2015,2015.0,2.0
151,2208,1,2010-12-23,300.0,未参评,16349346.47,0.0,5652258.25,10697088.22,26305838.08,26305838.08,16349346.47,16349346.47,3000000.0,2010,2010.0,7.0
152,3188,1,2010-08-24,2000.0,未参评,0.0,0.0,0.0,0.0,27196486.25,27196486.25,0.0,0.0,20000000.0,2010,2010.0,7.0
153,2506,1,2010-09-17,200.0,未参评,347470.71,0.0,0.0,347470.71,7909041.59,7909041.59,347470.71,347470.71,2000000.0,2010,2010.0,7.0
154,2251,0,2004-06-28,400.0,未参评,0.0,0.0,0.0,0.0,5042739.63,5042739.63,0.0,0.0,4000000.0,2004,2004.0,13.0
155,3589,0,2013-09-03,800.0,--,2000000.0,0.0,0.0,2000000.0,12299887.21,12299887.21,2000000.0,2000000.0,8000000.0,2013,2013.0,4.0
156,4672,1,2015年09月07日,200.0,未参评,160000.0,0.0,0.0,160000.0,2002073.97,2002073.97,160000.0,160000.0,2000000.0,2015,2015.0,2.0
157,3160,1,2003-02-20,4000.0,2A,3000000.0,0.0,0.0,3000000.0,46138201.13,46142544.48,3000000.0,3000000.0,40000000.0,2003,2003.0,14.0
158,332,0,2005-09-27,400.0,4A,6536019.1,0.0,0.0,6536019.1,124290886.88,124290886.88,6536019.1,6536019.1,4000000.0,2005,2005.0,12.0
159,53,1,2007年03月14日,200.0,未参评,0.0,366905.81,0.0,366905.81,2275635.64,2275635.64,366905.81,366905.81,2000000.0,2007,2007.0,10.0
160,2869,1,2007-06-26,2000.0,3A,580525859.87,0.0,9907432.89,570618426.98,1022740073.35,1023944917.5,580525859.87,580525859.87,20000000.0,2007,2007.0,10.0
161,2934,0,2006-09-28,523.0,未参评,0.0,0.0,0.0,0.0,12470613.01,12470613.01,0.0,0.0,5230000.0,2006,2006.0,11.0
162,1834,1,2008-07-16,10000.0,4A,0.0,0.0,0.0,0.0,103671827.05,103809323.28,0.0,0.0,100000000.0,2008,2008.0,9.0
163,2363,0,2013-11-15,400.0,未参评,0.0,0.0,0.0,0.0,7278131.69,7278131.69,0.0,0.0,4000000.0,2013,2013.0,4.0
164,472,1,2012-11-08,5000.0,未参评,5501085.53,0.0,0.0,5501085.53,51075183.85,51075183.85,5501085.53,5501085.53,50000000.0,2012,2012.0,5.0
