,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt,sc_gongo,sco_na,Province,ba_age,fa_dint,ba_gvof
250,1068,天津市华夏器官移植救助基金会,1,0,0,0.0,2007-11-22,5.0,3,540000.0,1125000.0,0.0,12501.82,0,0,Tianjin,8.0,166.5,00
252,3222,陕西美术事业发展基金会,0,0,0,1.0,2010-09-28,5.0,4,0.0,0.0,0.0,671.33,1,0,Shaanxi,5.0,0.0,00
253,2984,贵州省青年创业就业基金会,5,1,0,1.0,2009-08-05,15.0,5,1050000.0,625000.0,0.0,496.53,1,0,Guizhou,6.0,167.5,10
255,263,中国移动慈善基金会,7,0,0,0.0,2009-07-13,12.0,3,0.0,38000000.0,0.0,10198.12,0,1,Beijing,6.0,3800.0,00
259,191,中华见义勇为基金会,12,5,5,1.0,1993-06-01,23.0,3,10800000.0,4161850.0,1000.0,14196.76,1,1,Beijing,22.0,1496.18,55
266,2983,贵州省青少年发展基金会,16,1,0,1.0,1991-05-01,4.0,5,171523886.22,543000.0,260.0,3642.38,1,0,Guizhou,24.0,17206.69,10
277,3280,韬奋基金会,12,0,1,0.0,1986-09-12,21.0,3,32986965.96,0.0,0.0,9429.83,1,1,Beijing,29.0,3298.7,01
281,2221,浙江孤山慈善基金会,2,0,0,0.0,2010-04-23,5.0,3,0.0,0.0,0.0,1065.04,0,0,Zhejiang,5.0,0.0,00
282,269,中国职工发展基金会,0,1,2,1.0,1994-04-05,13.0,1,0.0,0.0,0.0,4717.24,1,1,Beijing,21.0,0.0,12
285,3227,陕西鱼化龙创业基金会,3,0,0,0.0,2010-02-05,5.0,3,0.0,43200.0,0.0,548.98,0,0,Shaanxi,5.0,4.32,00
286,2822,福建省青少年发展基金会,10,0,0,1.0,1993-07-15,22.0,5,16052531.01,5887.2,2.0,3650.01,1,0,Fujian,22.0,1605.84,00
287,2176,泛海公益基金会,5,0,0,0.0,2010-10-25,7.0,4,0.0,442992350.0,0.0,20172.15,0,1,Beijing,5.0,44299.24,00
289,954,哈尔滨市公安民警救助基金会,1,4,0,1.0,2010-05-26,8.0,3,0.0,500000.0,0.0,3653.67,1,0,Heilongjiang,5.0,50.0,40
293,330,云南滇池保护治理基金会,4,1,0,1.0,2010-04-06,15.0,3,1505.0,0.0,0.0,1654.17,1,0,Yunnan,5.0,0.15,10
295,1349,山西省汾酒集团公益基金会,0,0,0,0.0,2010-12-09,18.0,4,0.0,0.0,0.0,1340.25,0,0,Shanxi,5.0,0.0,00
296,245,中国民航科普基金会,6,0,1,1.0,2006-03-06,23.0,3,5147004.92,0.0,0.0,5679.84,1,1,Beijing,9.0,514.7,01
300,3015,辽宁省抚顺市爱心教育基金会,3,0,0,0.0,2005-12-15,23.0,3,0.0,1174337.62,0.0,347.38,1,0,Liaoning,10.0,117.43,00
302,3460,中国保护黄河基金会,8,0,0,1.0,2009-10-09,11.0,2,0.0,2002600.0,0.0,3654.19,1,1,Henan,6.0,200.26,00
304,712,北京航空航天大学教育基金会,11,0,0,0.0,2005-05-17,14.0,4,99222660.54,0.0,0.0,59396.7,1,1,Beijing,10.0,9922.27,00
307,2844,纺织之光科技教育基金会,5,0,0,0.0,2008-05-08,25.0,3,866000.0,2238000.0,0.0,11263.09,1,1,Beijing,7.0,310.4,00
308,213,中国出生缺陷干预救助基金会,6,0,2,1.0,2011-08-30,6.0,3,5544955.44,2066070.74,10010.0,17194.32,1,1,Beijing,4.0,761.1,02
309,2034,沈阳市职工爱心慈善基金会,1,0,1,1.0,2006-09-19,25.0,5,7181402.9,0.0,26.95,3492.84,1,0,Liaoning,9.0,718.14,01
318,2220,浙江大学教育基金会,52,0,1,0.0,2006-07-27,14.0,5,352880041.3,0.0,0.0,203784.94,1,1,Zhejiang,9.0,35288.0,01
320,76,上海市拥军优属基金会,13.0,0,0.0,1.0,1995年04月07日,21.0,3,913150.0,11887300.0,1464.8,77691.7,1,0,Shanghai,20.0,1280.04,00.0
321,1866,比亚迪慈善基金会,3,0,0,0.0,2010-07-19,13.0,3,5244360.0,11616582.5,0.0,2729.84,0,1,Guangdong,5.0,1686.09,00
324,2070,河北省职工互助基金会,4,0,0,0.0,2011-12-20,15.0,5,100000.0,0.0,0.0,748.94,1,0,Hebei,4.0,10.0,00
332,212,中国农业大学教育基金会,6,0,1,0.0,2009-09-02,21.0,4,41577992.25,5011.0,0.0,11101.18,1,1,Beijing,6.0,4158.3,01
333,3074,鄂尔多斯市成吉思汗基金会,0,0,0,0.0,1991-07-05,9.0,3,0.0,0.0,360.0,454.27,1,0,Neimenggu,24.0,0.0,00
334,2720,白银市社会救助基金会,1,2,0,1.0,2008-06-27,10.0,2,0.0,0.0,0.0,101.61,1,0,Gansu,7.0,0.0,20
335,1092,天津市福老基金会,4,0,0,1.0,2008-12-28,5.0,4,0.0,0.0,0.0,2447.52,1,0,Tianjin,7.0,0.0,00
339,233,中国少年儿童文化艺术基金会,12,0,0,1.0,1991-03-05,11.0,3,23038952.57,0.0,0.0,3357.6,1,1,Beijing,24.0,2303.9,00
341,2831,福建运盛青年基金会,0,0,0,0.0,1993-05-24,16.0,5,0.0,0.0,22.0,365.42,1,0,Fujian,22.0,0.0,00
345,3350,宁夏回族自治区残疾人福利基金会,4,1,1,1.0,1985-04-09,47.0,4,0.0,3144000.0,50.0,1564.89,1,0,Ningxia,30.0,314.4,11
350,307,云南三益文化国防基金会,8,0,0,0.0,2010-01-14,19.0,5,0.0,345900.0,0.0,364.41,1,0,Yunnan,5.0,34.59,00
351,3338,黑龙江飞鹤乳业有限公司助学基金会,1,0,0,0.0,2006-08-28,5.0,4,0.0,0.0,0.0,1023.56,0,0,Heilongjiang,9.0,0.0,00
353,2314,浙江省马寅初人口福利基金会,4,0,0,1.0,1994-09-06,13.0,4,200.0,1061924.47,0.0,2540.3,1,0,Zhejiang,21.0,106.21,00
354,2666,爱佑慈善基金会,42,0,0,0.0,2008-05-06,21.0,5,239475374.68,112413155.92,0.0,43783.63,0,1,Beijing,7.0,35188.85,00
357,36,上海唐君远教育基金会,1.0,0,0.0,0.0,1999年05月27日,13.0,5,0.0,5693026.54,0.0,20813.24,0,0,Shanghai,16.0,569.3,00.0
358,3430,重庆缙云山养生慈爱基金会,2,0,0,0.0,2007-09-24,5.0,2,1042900.0,102000.0,0.0,378.04,0,0,Chongqing,8.0,114.49,00
