,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
1038,1184,宁波市镇海区老年福利基金会,850000.0,4,1,650000.0,1,00,16029463.29,27.0,16.0,0,1.0,Zhejiang
1041,1254,宝钢教育基金会,29000000.0,4,5,0.0,0,00,81194416.15,10.0,25.0,1,0.0,Shanghai
1042,3679,辽宁省昌图县教育基金会,2529949.4,1,1,0.0,1,00,5250409.18,1.0,25.0,0,1.0,Liaoning
1048,859,厦门中山医院基金会,2296988.0,3,5,0.0,1,00,17372577.57,22.0,18.0,0,0.0,Fujian
1049,3033,辽宁省青少年发展基金会,10996380.2,5,7,1157625.37,1,00,18298060.65,18.0,15.0,0,1.0,Liaoning
1050,3304,黄帝陵基金会,2161670.06,4,0,0.0,1,11,37472102.42,23.0,25.0,0,1.0,Shaanxi
1052,32,上海同济大学教育发展基金会,130670906.96000001,3,8.0,0.0,1,00.0,329280384.47,9.0,19.0,0,0.0,Shanghai
1063,961,哈尔滨市道里区慈善基金会,50150.0,3,3,0.0,1,00,257160770.87,15.0,5.0,0,1.0,Heilongjiang
1064,3171,陕西宏府慈善基金会,1300000.0,3,8,0.0,0,00,3970800.23,6.0,11.0,0,0.0,Shaanxi
1065,3195,陕西省易信慈善基金会,100.0,3,1,0.0,0,00,1936690.24,6.0,2.0,0,0.0,Shaanxi
1066,1085,天津市杨兆兰慈善基金会,861370.0,3,0,0.0,0,00,2240831.6,3.0,15.0,0,0.0,Tianjin
1069,1187,宁波鄞州银行公益基金会,9691084.469999999,4,8,0.0,0,00,114182209.45,4.0,10.0,0,0.0,Zhejiang
1071,868,厦门市红十字基金会,20289166.259999998,5,12,0.0,1,10,66266782.9,21.0,21.0,0,1.0,Fujian
1073,2284,浙江省惠民慈善基金会,1500000.0,3,1,0.0,1,00,3067522.7,3.0,5.0,0,0.0,Zhejiang
1074,50,上海宋庆龄基金会,43924730.379999995,5,13.0,0.0,1,00.0,615757291.64,22.0,13.0,0,1.0,Shanghai
1075,752,华民慈善基金会,11200000.0,4,11,1000000.0,0,00,20740262.47,7.0,8.0,1,0.0,Beijing
1076,1656,张学良教育基金会,14226017.379999999,2,4,0.0,1,00,50895706.94,9.0,17.0,1,0.0,Liaoning
1079,2690,甘肃妇女儿童发展基金会,22647165.37,3,2,0.0,1,31,0.0,9.0,10.0,0,1.0,Gansu
1081,1096,天津市翔宇教育基金会,7899500.0,4,3,0.0,0,00,22182484.07,3.0,5.0,0,0.0,Tianjin
1083,1103,天津市青年创业就业基金会,4156000.0,5,3,3455199.3,1,00,10752788.2,6.0,14.0,0,1.0,Tianjin
1084,2824,福建省龙岩市李新炎慈善基金会,1018000.0,5,5,0.0,0,00,148018453.08,8.0,13.0,0,0.0,Fujian
1088,745,宁夏回族自治区北方民族大学教育发展基金会,6206000.0,3,1,0.0,1,00,8095174.61,3.0,20.0,0,0.0,Ningxia
1093,1627,广西妇女儿童发展基金会,22720724.5,3,4,0.0,1,40,25583628.26,33.0,21.0,0,1.0,Guangxi
1101,1688,慈溪市老龄事业发展基金会,1000000.0,4,3,720000.0,1,30,16420164.95,4.0,17.0,0,1.0,Zhejiang
1108,2759,福建卢嘉锡科学教育基金会,91650.0,3,0,0.0,0,00,5467839.49,9.0,8.0,0,0.0,Fujian
1109,3444,重庆市红十字基金会,68235113.32000001,5,11,0.0,1,00,37476771.98,7.0,15.0,0,1.0,Chongqing
1117,2815,福建省见义勇为基金会,3421358.03,5,9,3001800.0,1,00,42581748.77,21.0,21.0,0,1.0,Fujian
1118,262,中国科技馆发展基金会,2200000.0,2,6,0.0,1,00,26964216.8,5.0,8.0,1,1.0,Beijing
1137,3157,阿拉善生态基金会,2892611.06,4,2,0.0,0,00,40784554.42,4.0,25.0,0,0.0,Neimenggu
1141,3356,宁夏青少年发展基金会,18244430.48,5,10,0.0,1,00,18267545.46,22.0,,0,,Ningxia
1147,1314,山西省人民教育基金会,3500000.0,4,4,0.0,1,00,34690696.36,10.0,9.0,0,1.0,Shanxi
